sku,product_type,revenue,stock_level,price,availability,customer_demographic,order_lead_time_days,order_quantity,shipping_time_days,shipping_carriers,shipping_cost,supplier,location,supplier_lead_time_days,production_volume,manufacturing_lead_time_days,manufacturing_cost,inspection_results,defect_rate,transport_mode,routes,route_cost,capacity_buffer,stock_to_order_ratio,total_lead_time_days,predicted_products_sold
SKU94,cosmetics,7888.356546661873,77,3.037688724631414,97,Unknown,26,72,9,Carrier B,6.942945942032581,Supplier 2,Delhi,12,908,14,60.38737861486212,Pass,1.4636074984727798,Rail,Route B,846.6652569866948,836,1.0694444444444444,35,826.459769751082
SKU37,skincare,2438.339930470029,25,23.39984475261435,5,Female,8,21,9,Carrier A,1.5326552735904306,Supplier 3,Kolkata,24,867,15,34.34327746507538,Pending,2.610288084848113,Sea,Route A,183.9329680435944,846,1.1904761904761905,48,810.2205584415581
SKU9,skincare,4971.145987585558,14,64.01573294127854,35,Unknown,27,83,1,Carrier A,7.166645291048216,Supplier 2,Chennai,29,963,23,47.95760163495158,Pending,3.844614478767585,Rail,Route B,995.9294614986416,880,0.1686746987951807,53,806.7086329365073
SKU36,skincare,7573.402457848733,18,9.813002578754052,34,Female,23,28,3,Carrier B,2.107951267159081,Supplier 2,Delhi,26,671,19,45.531364237162144,Fail,3.8055333792433537,Air,Route C,403.8089742481805,643,0.6428571428571429,48,783.3178275613271
SKU78,haircare,1292.4584179377562,5,6.306883176111915,50,Unknown,4,51,5,Carrier B,8.46704977086199,Supplier 5,Mumbai,25,858,21,71.12651472040338,Pending,4.096881332470452,Sea,Route C,323.59220343132216,807,0.09803921568627451,51,770.3547667748918
SKU47,skincare,7089.474249934186,4,95.71213588093607,93,Male,15,51,9,Carrier B,8.97875075594997,Supplier 1,Kolkata,10,964,20,19.712992911293647,Pending,0.3805735867132137,Rail,Route A,581.6023550505868,913,0.0784313725490196,39,759.3511200396829
SKU11,skincare,6099.944115581452,46,90.63545998228868,95,Female,23,60,1,Carrier A,4.523943124316663,Supplier 2,Kolkata,28,362,11,27.592363086663696,Pending,0.0211698213729943,Air,Route A,126.72303340940724,302,0.7666666666666667,40,754.577685515873
SKU74,haircare,5709.945295969287,41,3.170011413566155,64,Female,6,1,5,Carrier A,5.237654650037448,Supplier 4,Delhi,1,919,9,80.58085215644782,Fail,0.3966127241099354,Rail,Route A,341.55265678322337,918,41.0,15,743.8985942460317
SKU46,haircare,2556.767360633596,92,27.0822071998889,75,Non-binary,29,6,8,Carrier B,4.070955837084083,Supplier 3,Chennai,18,870,23,77.32235321105162,Pending,3.6486105925362033,Road,Route B,380.4359371119643,864,15.333333333333334,49,742.1032678571428
SKU91,cosmetics,1935.206793507599,98,62.11196546396179,90,Male,22,85,7,Carrier B,7.471514084401146,Supplier 4,Delhi,5,207,28,39.772882502339975,Pending,0.6260018582093946,Rail,Route B,996.7783149506238,122,1.1529411764705881,40,714.599298611111
SKU66,skincare,8367.721618020154,13,26.03486977396209,52,Female,17,19,8,Carrier A,2.2161427287713638,Supplier 5,Kolkata,24,867,28,42.08443673830996,Fail,3.4480632883402618,Road,Route A,393.8433485784279,848,0.6842105263157895,60,709.3274841269846
SKU98,skincare,8525.952559683526,53,19.7546048668786,43,Female,1,27,7,Carrier B,1.409801095138073,Supplier 5,Chennai,28,581,9,5.604690864371781,Pending,2.908122169351261,Rail,Route A,882.1988635470415,554,1.962962962962963,44,696.4200158730158
SKU88,cosmetics,9444.74203306298,60,75.27040697572501,58,Male,18,85,7,Carrier A,3.8012531329310777,Supplier 2,Mumbai,21,953,11,68.18491905704117,Pending,0.722204401882931,Sea,Route A,103.91624796070496,868,0.7058823529411765,39,684.3507440476191
SKU30,haircare,2766.342366866089,60,8.022859210526393,10,Male,26,35,7,Carrier B,8.954528315318015,Supplier 4,Kolkata,27,806,30,51.63489340010933,Pending,0.9653947053523932,Road,Route C,880.080988247161,771,1.7142857142857142,64,681.2263074494949
SKU81,haircare,4384.413400045863,48,72.81920693031822,9,Unknown,6,8,5,Carrier B,4.066277501512044,Supplier 3,Delhi,28,698,1,19.789592941903603,Pending,2.547547121548712,Rail,Route B,276.77833594679885,690,6.0,34,672.0837688492061
SKU1,skincare,7460.900065445849,53,14.84352327508434,95,Female,30,37,2,Carrier A,9.71657477143131,Supplier 3,Mumbai,23,517,30,33.61676895373,Pending,4.854068026388706,Road,Route B,503.0655791496692,480,1.4324324324324325,55,663.1211696428571
SKU39,skincare,1912.4656631007608,78,19.127477265823256,26,Female,29,34,3,Carrier A,5.562503778830384,Supplier 2,Kolkata,30,791,6,9.005807428781642,Fail,1.451972203996816,Air,Route B,653.6729945520332,757,2.2941176470588234,39,662.6944989177487
SKU76,haircare,5328.375984297758,38,69.10879954743032,23,Male,1,22,10,Carrier A,7.054538336836926,Supplier 2,Bangalore,25,985,24,64.32359779560022,Pending,2.1800374515822165,Rail,Route A,997.4134501331946,963,1.7272727272727273,59,662.692931547619
SKU55,haircare,2925.6751703038126,97,79.85505834078943,16,Male,11,11,5,Carrier A,5.014364955030907,Supplier 2,Delhi,27,918,5,30.3235452566165,Fail,4.548919659396385,Sea,Route B,323.01292795247883,907,8.818181818181818,37,657.2082172619048
SKU58,skincare,2021.149810337108,10,59.84156137728931,81,Non-binary,5,44,7,Carrier A,4.93843856471209,Supplier 3,Delhi,18,396,7,65.04741509469146,Fail,1.7303747198591968,Road,Route B,110.36433523136472,352,0.22727272727272727,32,652.1793869047624
SKU52,skincare,9435.76260891213,64,98.03182965646508,1,Male,11,11,1,Carrier B,8.631052179768947,Supplier 1,Mumbai,10,727,27,9.166849148597151,Pending,2.1224716191438247,Air,Route C,602.8984988383834,716,5.818181818181818,38,641.9516932720056
SKU38,cosmetics,9692.318040218432,69,52.0759306827078,75,Non-binary,1,88,5,Carrier B,9.235931437249228,Supplier 5,Mumbai,10,841,12,5.930693645528318,Pending,0.6133268991645074,Air,Route B,339.6728699486061,753,0.7840909090909091,27,640.3126190476189
SKU99,haircare,9185.185829181704,55,68.51783269927664,17,Unknown,8,59,6,Carrier B,1.3110237561206226,Supplier 2,Chennai,29,921,2,38.07289852062604,Fail,0.3460272907055034,Rail,Route B,210.74300896424612,862,0.9322033898305084,37,638.4068392857141
SKU40,skincare,5724.959350456265,90,80.54142417094033,97,Female,20,39,8,Carrier C,7.229595139736474,Supplier 1,Kolkata,18,793,1,88.17940710421746,Pending,4.213269430586566,Road,Route A,529.8087239806919,754,2.3076923076923075,27,637.4738936688312
SKU50,cosmetics,5910.885389668899,31,14.203484264803022,91,Female,23,82,10,Carrier A,6.247860914975991,Supplier 2,Delhi,20,306,21,45.17875792463452,Fail,4.754800804671185,Rail,Route B,496.24865029194046,224,0.3780487804878049,51,637.3294404761906
SKU21,cosmetics,7087.052696357437,69,84.89386898495083,60,Unknown,25,7,6,Carrier B,6.037883769218298,Supplier 5,Chennai,19,791,4,61.73572895416093,Pending,0.0186075676310149,Air,Route C,523.360914720158,784,9.857142857142858,29,598.8913561507936
SKU45,haircare,5267.956807510521,93,33.78413803306551,1,Male,7,52,6,Carrier B,5.21515500871191,Supplier 2,Chennai,25,794,25,66.31254443999165,Pass,3.219604612084106,Rail,Route A,495.305697028474,742,1.7884615384615385,56,585.582320436508
SKU14,skincare,8653.570926469802,54,99.1713286386242,26,Non-binary,29,78,5,Carrier B,2.039770189449332,Supplier 1,Kolkata,25,558,14,5.791436629862989,Pending,0.1006828515650937,Air,Route B,929.2352899608896,480,0.6923076923076923,44,583.9178988095236
SKU84,haircare,2048.2900998487103,73,89.10436729210225,99,Unknown,26,80,10,Carrier A,8.381615624922631,Supplier 5,Chennai,24,589,22,33.808636513209095,Pass,4.843456577118041,Air,Route B,465.457005963688,509,0.9125,56,581.1246339285716
SKU41,skincare,5521.205259010972,64,99.11329161531717,35,Female,19,38,8,Carrier B,5.773263743766654,Supplier 4,Chennai,18,892,7,95.3320645487725,Fail,0.0453022623982596,Sea,Route A,275.5243711313098,854,1.6842105263157894,33,574.9804393037521
SKU22,haircare,2390.8078665561734,71,27.67978088650196,55,Unknown,1,63,10,Carrier A,9.56764892092304,Supplier 4,Kolkata,22,780,28,50.12083961297735,Fail,2.591275473211116,Rail,Route C,205.57199582694707,717,1.126984126984127,60,572.3976944444447
SKU53,skincare,8232.334829425821,96,30.34147071121421,93,Male,25,54,3,Carrier B,1.0134865660958965,Supplier 1,Delhi,1,631,17,83.34405899167797,Pending,1.4103475760760271,Air,Route B,750.7378406682709,577,1.7777777777777777,21,559.8185634920637
SKU34,skincare,9061.710895507724,1,37.46759232984246,96,Unknown,26,21,7,Carrier A,1.019487570822119,Supplier 1,Chennai,4,452,10,10.754272815029331,Pass,0.6466045593720549,Road,Route B,510.3580004335235,431,0.047619047619047616,21,554.5566785714284
SKU69,skincare,1752.3810874841247,95,54.86552851706979,62,Non-binary,1,27,3,Carrier B,9.705286790120349,Supplier 4,Kolkata,9,862,7,77.62776581274817,Pending,1.3623879886491086,Air,Route A,207.6632062085756,835,3.5185185185185186,19,544.2664910714288
SKU54,haircare,6088.021479940859,33,31.146243160240854,11,Non-binary,22,61,3,Carrier B,4.305103471287636,Supplier 1,Kolkata,26,497,29,30.186023375822508,Pass,2.478771975539748,Road,Route B,814.0699965821875,436,0.5409836065573771,58,541.6393005952382
SKU32,skincare,9571.55048732782,89,79.20993601565672,43,Unknown,13,64,4,Carrier C,6.599104901238584,Supplier 3,Kolkata,30,737,7,29.69246715374977,Pass,1.946036119386113,Road,Route A,761.1739095148776,673,1.390625,41,535.3833903318902
SKU0,haircare,8661.996792392383,58,69.80800554211577,55,Non-binary,7,96,4,Carrier B,2.956572139430807,Supplier 3,Mumbai,29,215,29,46.27987924050832,Pending,0.2264103608499251,Road,Route B,187.75207545920392,119,0.6041666666666666,62,531.5985813492065
SKU95,haircare,7386.363944048664,15,77.90392721944775,65,Unknown,14,26,9,Carrier B,8.630338869602754,Supplier 4,Mumbai,18,450,26,58.89068576858998,Pending,1.2108821295850665,Air,Route A,778.8642413766479,424,0.5769230769230769,53,524.2650396825397
SKU70,haircare,7014.887987203389,10,47.914541824058766,90,Female,12,22,4,Carrier B,6.315717754600723,Supplier 1,Bangalore,22,775,16,11.440781823761265,Pass,1.8305755986122316,Road,Route C,183.272898748711,753,0.45454545454545453,42,502.507568452381
SKU43,haircare,5737.425599119023,36,11.74327177630924,6,Unknown,29,85,9,Carrier B,3.6940212683884543,Supplier 5,Mumbai,1,206,23,26.27736595733241,Pending,0.3723047679850977,Air,Route A,716.0441197593407,121,0.4235294117647059,33,498.30536471861467
SKU71,cosmetics,8180.337085425443,76,6.381533162747966,14,Female,2,26,6,Carrier A,9.228190317052515,Supplier 2,Bangalore,2,258,10,30.66167747785956,Pending,2.078750607874969,Road,Route A,405.1670678888559,232,2.923076923076923,18,479.5637142857143
SKU59,cosmetics,1061.618523013288,100,63.828398347710966,30,Non-binary,16,26,7,Carrier B,7.293722596867728,Supplier 1,Kolkata,11,176,4,1.900762243519458,Fail,0.4471940154638232,Air,Route A,312.5742736100933,150,3.8461538461538463,22,473.2980932539683
SKU82,skincare,2943.3818676094515,42,17.034930739467917,13,Unknown,19,72,1,Carrier A,4.70818187354193,Supplier 2,Mumbai,6,955,26,4.46527843494324,Pending,4.137877048622357,Road,Route C,589.9785556280407,883,0.5833333333333334,33,462.879314484127
SKU12,haircare,2873.7414460214413,100,71.21338907536008,41,Unknown,30,85,4,Carrier A,1.325274010184522,Supplier 4,Kolkata,3,563,3,32.32128621342403,Fail,2.161253747555912,Road,Route B,402.9687890737706,478,1.1764705882352942,10,451.44471383477634
SKU72,cosmetics,2633.121981312256,57,90.20442752052809,88,Non-binary,29,77,9,Carrier A,6.599614159689544,Supplier 1,Bangalore,21,152,11,55.76049289524421,Pending,3.213329607438309,Rail,Route B,677.9445698461833,75,0.7402597402597403,41,445.5584732142857
SKU15,skincare,5442.086785397673,9,36.98924492862691,94,Non-binary,8,69,7,Carrier B,2.4220397232752044,Supplier 1,Bangalore,14,580,7,97.12128175147431,Pass,2.264405761198549,Sea,Route B,127.8618000016254,511,0.13043478260869565,28,443.2957162698412
SKU4,skincare,2686.505151567447,5,4.805496036345893,26,Non-binary,3,56,8,Carrier A,3.890547915870672,Supplier 1,Delhi,5,414,3,92.06516059871284,Fail,3.145579522833002,Air,Route A,923.4406317119222,358,0.08928571428571429,16,443.16123511904755
SKU28,cosmetics,6117.324615083992,48,2.397274705597141,12,Female,15,24,4,Carrier B,9.898140508069222,Supplier 1,Mumbai,13,171,7,59.42938181069157,Fail,0.815757079295672,Air,Route A,123.43702751182708,147,2.0,24,435.9504182900436
SKU90,skincare,9592.633570280312,66,13.881913501359142,56,Non-binary,18,96,7,Carrier B,7.674430708112694,Supplier 3,Bangalore,8,585,8,85.67596333579797,Pass,1.2193822244013883,Rail,Route B,990.0784725058112,489,0.6875,23,435.5002073412698
SKU77,haircare,2483.7601775427947,96,57.44974295897148,14,Unknown,28,57,4,Carrier B,6.780946625617895,Supplier 1,Kolkata,26,334,5,42.95244474899184,Pass,3.055141818307548,Road,Route B,852.56809891985,277,1.6842105263157894,35,414.9968161976913
SKU92,cosmetics,2100.1297546259366,90,47.71423307582023,44,Male,25,10,8,Carrier B,4.469500026123601,Supplier 2,Mumbai,4,671,29,62.61269039561434,Pass,0.3334318252247392,Rail,Route B,230.0927825367629,661,9.0,41,414.7973644480522
SKU7,cosmetics,8496.103813089838,93,42.95838438246007,59,Female,17,11,1,Carrier B,2.3483387844177805,Supplier 4,Bangalore,22,564,1,99.46610860359912,Fail,0.3981771868506506,Road,Route C,802.0563118175586,553,8.454545454545455,24,410.5418035714286
SKU67,skincare,9473.798032508335,12,87.75543235400107,16,Unknown,9,71,9,Carrier C,9.147811544710631,Supplier 1,Mumbai,10,198,11,7.057876146978231,Pass,0.1319554443118148,Sea,Route C,169.2718013847869,127,0.16901408450704225,30,409.61308035714274
SKU57,haircare,1605.8669003924058,5,49.26320535073416,65,Unknown,18,51,1,Carrier B,9.16055853538187,Supplier 2,Delhi,21,588,25,67.77962298707814,Pending,2.511174830212707,Rail,Route A,482.1912386025281,537,0.09803921568627451,47,406.23804283910516
SKU35,cosmetics,6541.329344802465,42,84.95778681635043,11,Female,27,85,8,Carrier C,5.288189990327409,Supplier 1,Delhi,3,367,2,58.004787044743765,Pass,0.5411540980605811,Sea,Route C,553.4204712303558,282,0.49411764705882355,13,399.7553025793651
SKU10,skincare,2330.965802091949,51,15.707795681912138,11,Non-binary,13,80,2,Carrier C,8.673211211278613,Supplier 5,Kolkata,18,830,5,96.52735278531092,Pass,1.7273139283559424,Road,Route B,806.103177702923,750,0.6375,25,398.4002419733042
SKU83,haircare,2411.754632110491,65,68.91124621160633,82,Unknown,24,7,8,Carrier B,4.949839577996949,Supplier 1,Bangalore,20,443,5,97.73059380053304,Fail,0.7730061340672478,Road,Route A,682.9710182260933,436,9.285714285714286,33,398.1494404761902
SKU31,skincare,9655.135102719398,6,50.8473930517187,28,Male,17,44,4,Carrier B,2.6796609649814065,Supplier 3,Chennai,24,461,8,60.25114566159808,Pending,2.9890000066550746,Rail,Route C,609.3792066184267,417,0.13636363636363635,36,398.03085732323234
SKU63,skincare,4256.949140850225,54,13.017376785287857,55,Non-binary,19,10,4,Carrier A,2.45793352798733,Supplier 3,Bangalore,18,736,10,20.075003975630484,Pending,3.6328432903821337,Sea,Route A,687.2861778664173,726,5.4,32,388.7828431637805
SKU60,skincare,8864.084349586436,41,17.028027920188702,16,Female,27,72,8,Carrier C,4.3813681581023145,Supplier 4,Mumbai,29,929,24,87.21305781513568,Fail,2.853090616649054,Rail,Route A,430.1690969751365,857,0.5694444444444444,61,386.3022932900431
SKU73,cosmetics,7910.886916140686,17,83.8510176813046,41,Male,25,66,5,Carrier B,1.5129368369160772,Supplier 4,Chennai,13,444,4,46.87023879761716,Fail,4.620546064513706,Road,Route A,866.4728001296578,378,0.25757575757575757,22,381.61391666666646
SKU23,cosmetics,8858.367571011484,84,4.324341185864164,30,Unknown,5,29,7,Carrier A,2.924857601145554,Supplier 5,Kolkata,11,568,29,98.60995724270389,Pending,1.342291562722734,Rail,Route A,196.32944611241268,539,2.896551724137931,47,380.21920508658013
SKU26,haircare,3716.493325894037,59,97.44694661789282,9,Male,16,48,4,Carrier B,6.507548621078551,Supplier 2,Bangalore,26,171,4,15.97222975718176,Pass,2.119319736724923,Rail,Route A,617.8669164583772,123,1.2291666666666667,34,378.29517460317476
SKU20,skincare,8128.027696851192,27,96.34107243996338,22,Unknown,12,68,6,Carrier A,8.87833465092684,Supplier 1,Chennai,29,309,6,65.68625960848863,Pass,4.231416573534539,Air,Route B,493.87121531620585,241,0.39705882352941174,41,377.06287662337627
SKU65,skincare,8354.579686481995,57,33.69771720664313,72,Male,24,54,8,Carrier C,6.580541347884595,Supplier 5,Kolkata,16,358,21,1.5972227430506774,Fail,4.911095954842331,Rail,Route C,555.8591036717435,304,1.0555555555555556,45,354.8795357142857
SKU2,haircare,9577.74962586873,1,11.319683293090566,34,Unknown,10,88,2,Carrier B,8.054479261732155,Supplier 1,Mumbai,12,971,27,30.688019348284204,Pending,4.580592619199229,Air,Route C,141.92028177151906,883,0.011363636363636364,41,351.8154761904761
SKU29,cosmetics,8318.903194617178,45,63.44755918520733,3,Female,5,67,7,Carrier B,8.100973145397031,Supplier 1,Kolkata,16,329,7,39.29287558606575,Pass,3.878098936588488,Road,Route B,764.9353759407081,262,0.6716417910447762,30,349.0349990079365
SKU19,skincare,2553.495584991215,48,51.12387008796474,100,Unknown,11,94,3,Carrier A,4.742635882841877,Supplier 4,Chennai,20,694,16,82.37332058799021,Fail,3.646450865417029,Road,Route C,477.3076310909034,600,0.5106382978723404,39,341.75922276334774
SKU27,cosmetics,2686.457223575984,47,92.55736081240202,42,Unknown,9,62,8,Carrier C,7.406750952998074,Supplier 5,Mumbai,25,291,4,10.528245070042162,Fail,2.864667837883373,Sea,Route B,762.4591821556837,229,0.7580645161290323,37,338.93237698412696
SKU96,cosmetics,7698.424765632117,67,24.42313142037338,29,Non-binary,2,32,3,Carrier C,5.352878043996809,Supplier 3,Mumbai,28,648,28,17.80375633139127,Pending,3.872047681482133,Road,Route A,188.74214114905695,616,2.09375,59,330.80301190476195
SKU62,cosmetics,3899.746833729224,86,72.79635395558736,89,Unknown,2,40,7,Carrier C,7.291701388776776,Supplier 2,Mumbai,13,751,14,21.048642725168644,Pass,1.8740014040443749,Sea,Route C,320.8465157591116,711,2.15,34,322.9119424603174
SKU13,skincare,4052.738416237866,80,16.160393317379977,5,Male,8,48,9,Carrier A,9.537283061108338,Supplier 5,Bangalore,23,173,10,97.82905011017328,Pending,1.6310742300715386,Road,Route B,547.2410051609685,125,1.6666666666666667,42,314.31804599567107
SKU16,skincare,6453.797968176285,2,7.547172109791272,74,Female,5,78,1,Carrier B,4.191324585705502,Supplier 1,Bangalore,3,399,21,77.10634249785001,Pass,1.012563089258049,Air,Route A,865.5257797712403,321,0.02564102564102564,25,312.4732063492063
SKU86,skincare,1229.5910285649834,32,19.99817694040422,18,Unknown,14,22,6,Carrier B,1.4543053101535517,Supplier 1,Mumbai,4,569,18,74.60896999519468,Pass,2.0515129307662465,Rail,Route A,264.2548898358665,547,1.4545454545454546,28,303.07942397186156
SKU89,cosmetics,5924.682566853231,90,97.76008558193868,10,Unknown,1,27,8,Carrier B,9.92981624527726,Supplier 1,Kolkata,23,370,11,46.60387338164447,Pending,1.9076657339590744,Rail,Route B,517.4999739290605,343,3.3333333333333335,42,297.48548782467515
SKU79,haircare,7888.723268427081,31,57.05703122110322,56,Non-binary,25,20,1,Carrier B,6.4963253642950445,Supplier 3,Bangalore,5,228,12,57.87090292403628,Pending,0.1658716274806082,Air,Route C,351.50421933503867,208,1.55,18,293.4285120851372
SKU87,haircare,5133.846701086692,5,80.41403665035574,24,Male,7,55,10,Carrier A,6.575803797548535,Supplier 3,Chennai,27,523,17,28.69699682414317,Fail,3.693737787839276,Sea,Route B,879.3592177349243,468,0.09090909090909091,54,290.328982142857
SKU51,haircare,9866.465457979695,100,26.70076097246173,61,Male,4,52,1,Carrier A,4.783000557947665,Supplier 5,Bangalore,18,673,28,14.19032834456998,Pending,1.7729511720835571,Road,Route A,694.9823175794459,621,1.9230769230769231,47,281.7854023268397
SKU44,cosmetics,7152.2860494355145,13,51.35579091311039,34,Female,19,72,6,Carrier C,7.577449657376693,Supplier 2,Delhi,7,834,18,22.554106620887744,Fail,2.962626320454882,Rail,Route A,610.4532696192277,762,0.18055555555555555,31,277.83807602813863
SKU42,skincare,1839.609425856764,22,46.52916761451677,98,Female,27,57,4,Carrier C,7.526248326851508,Supplier 5,Bangalore,26,179,7,96.42282063957188,Fail,4.939255288620948,Road,Route A,635.6571205019919,122,0.38596491228070173,37,269.0940545634921
SKU25,haircare,2174.777054350654,82,39.62934398509263,73,Male,11,52,3,Carrier C,2.231073681281728,Supplier 4,Kolkata,19,934,23,78.28038311841539,Pending,3.797231217114183,Road,Route B,458.535945739209,882,1.5769230769230769,45,267.2217013888887
SKU49,cosmetics,8001.613206519002,97,78.89791320564004,19,Unknown,24,9,6,Carrier C,2.5056210329009154,Supplier 5,Delhi,28,177,28,14.147815443979216,Pass,2.825813985400132,Rail,Route A,336.8901685199779,168,10.777777777777779,62,266.618180194805
SKU5,haircare,2828.348745975759,90,1.6999760138659377,87,Non-binary,27,66,3,Carrier B,4.444098864382293,Supplier 4,Bangalore,10,104,17,56.7664755574318,Fail,2.7791935115711617,Road,Route A,235.4612367355375,38,1.3636363636363635,30,264.25179022366507
SKU64,skincare,8458.730878367178,73,89.63409560813533,11,Female,27,75,6,Carrier C,4.585353468194652,Supplier 1,Delhi,17,328,6,8.693042425877287,Fail,0.1594863147175146,Air,Route C,771.2250846811575,253,0.9733333333333334,29,258.79774305555543
SKU80,skincare,8651.672682982065,39,91.12831835044432,75,Unknown,14,41,2,Carrier C,2.8331846794189746,Supplier 3,Chennai,8,202,5,76.96122802382001,Fail,2.8496621985053308,Sea,Route B,787.7798504943445,161,0.9512195121951219,15,249.5034732142857
SKU24,haircare,9049.077860939897,4,4.156308359311108,32,Male,26,2,8,Carrier C,9.741291689284369,Supplier 2,Bangalore,28,447,3,40.382359702924816,Pending,3.691310292628728,Air,Route A,758.7247726029383,445,2.0,39,247.38642415223666
SKU8,cosmetics,7517.363210631127,5,68.71759674852733,78,Female,10,15,7,Carrier C,3.4047338570830266,Supplier 4,Mumbai,13,769,8,11.423027139565695,Pending,2.709862691109961,Sea,Route B,505.55713422546415,754,0.3333333333333333,28,240.59797177128422
SKU93,haircare,4531.4021336919095,63,69.29083100290549,88,Unknown,17,66,1,Carrier C,7.0064320590043945,Supplier 4,Chennai,21,824,20,35.63365234334388,Fail,4.165781795424145,Air,Route A,823.5238458881558,758,0.9545454545454546,42,232.05486372655145
SKU68,haircare,3550.218432780992,0,37.93181238279032,29,Non-binary,8,58,8,Carrier B,1.1942518648849991,Supplier 2,Bangalore,2,375,18,97.1135815634622,Fail,1.98346787217418,Rail,Route A,299.7063031181032,317,0.0,28,229.67234190115425
SKU3,skincare,7766.836425685233,23,61.163343016437736,68,Non-binary,13,59,6,Carrier C,1.7295685635434288,Supplier 5,Kolkata,24,937,18,35.62474139712503,Fail,4.74664862064775,Rail,Route A,254.77615921928663,878,0.3898305084745763,48,218.79959722222225
SKU18,haircare,9364.673505076173,10,36.443627770460935,23,Unknown,10,46,8,Carrier C,4.339224714110709,Supplier 2,Kolkata,18,374,17,27.10798085484392,Pending,2.231939110729264,Sea,Route A,593.4802587206518,328,0.21739130434782608,43,214.20083351370846
SKU17,cosmetics,2629.396434845262,45,81.46253436923702,82,Female,17,85,9,Carrier C,3.585418958232342,Supplier 1,Chennai,7,453,16,47.679680368355335,Fail,0.1020207549181761,Air,Route C,670.9343907924103,368,0.5294117647058824,32,206.15189285714288
SKU56,skincare,4767.020484344137,25,20.986386037043378,90,Non-binary,23,83,5,Carrier C,1.7744297140717396,Supplier 1,Mumbai,24,826,28,12.836284572832753,Pass,1.173755495387454,Air,Route B,832.2108087060217,743,0.30120481927710846,57,203.811928481241
SKU75,skincare,1889.073589779335,16,92.99688423397066,29,Non-binary,20,56,10,Carrier C,2.473897761045461,Supplier 1,Chennai,25,759,11,48.06478264000659,Pass,2.030069088668752,Air,Route C,873.1296480176514,703,0.2857142857142857,46,202.1561924603175
SKU97,haircare,4370.916579984536,46,3.526111259143416,56,Male,19,4,9,Carrier A,7.904845611209675,Supplier 4,Mumbai,10,535,13,65.76515592636746,Fail,3.376237834717981,Road,Route A,540.1324228679678,531,11.5,32,198.99254419191922
SKU33,cosmetics,5149.9983504080365,4,64.7954350001556,63,Non-binary,17,95,9,Carrier C,4.85827050343664,Supplier 5,Chennai,1,251,23,23.853427512896133,Fail,3.541046012250923,Sea,Route A,371.255295519871,156,0.042105263157894736,33,187.45254527417038
SKU6,skincare,7823.476559531737,11,4.078332863107945,48,Male,15,58,8,Carrier C,3.880763302952003,Supplier 3,Kolkata,14,314,24,1.0850685695870688,Pending,1.0009106193041355,Sea,Route A,134.36909686103172,256,0.1896551724137931,46,180.40801785714285
SKU61,haircare,6885.589350896253,32,52.02874990329492,23,Unknown,23,36,7,Carrier C,9.030340422521949,Supplier 4,Kolkata,14,480,12,78.7023939688789,Fail,4.367470538205053,Air,Route A,164.36652824341942,444,0.8888888888888888,33,176.69112518037528
SKU85,cosmetics,8684.613059253858,15,76.96299441519388,83,Female,18,66,2,Carrier C,8.249168704871728,Supplier 5,Chennai,4,211,2,69.9293455186723,Fail,1.3744289997457582,Road,Route B,842.6868300046415,145,0.22727272727272727,8,152.87679563492065
SKU48,haircare,7397.07100458718,30,76.03554442689172,28,Non-binary,16,9,3,Carrier C,7.0958331565551385,Supplier 2,Mumbai,9,109,18,23.126363582464776,Fail,1.6981125407144038,Rail,Route B,768.65191395437,100,3.3333333333333335,30,117.96271293290047
